SK_ID_CURR,TARGET,CODE_GENDER,AMT_CREDIT,AMT_GOODS_PRICE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_ID_PUBLISH,OCCUPATION_TYPE,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,FLOORSMAX_AVG,FLOORSMAX_MODE,FLOORSMAX_MEDI,TOTALAREA_MODE,DAYS_LAST_PHONE_CHANGE
146334,0,F,441481.5,364500.0,State servant,Secondary / secondary special,-19802,-3175,-3348,High skill tech staff,3,3,Government,0.8807863410213665,0.6904117249897785,0.4241303111942548,,,,,-1866.0
146335,0,F,647046.0,463500.0,Working,Secondary / secondary special,-16276,-2836,-4088,,2,2,Business Entity Type 3,0.6390773785530244,0.6446774654685237,0.5779691187553125,0.3333,0.3333,0.3333,0.3419,-1.0
146336,0,F,553806.0,495000.0,Pensioner,Secondary / secondary special,-21347,365243,-4907,,2,2,XNA,,0.1644270834063354,0.6397075677637197,,,,,-294.0
146337,1,F,485190.0,405000.0,Pensioner,Secondary / secondary special,-21733,365243,-5027,,3,3,XNA,,0.3864155973979601,0.2327247762679433,,,,,-1752.0
146338,0,F,862560.0,720000.0,Working,Secondary / secondary special,-14510,-5277,-4230,Managers,2,2,Culture,,0.7116210025980372,0.8425892767430772,0.1667,0.1667,0.1667,0.1314,-2135.0
146339,0,M,277969.5,229500.0,Working,Higher education,-9748,-772,-2435,Sales staff,2,2,Self-employed,,0.310438140786382,0.2636468134452008,,,,,0.0
146340,0,F,542133.0,468000.0,Working,Secondary / secondary special,-20482,-11490,-4028,Drivers,2,2,Transport: type 4,,0.4666378611944033,0.4884551844437485,0.1667,0.1667,0.1667,0.0646,-2386.0
146341,0,F,338832.0,292500.0,Working,Secondary / secondary special,-10817,-460,-1698,Managers,3,3,Business Entity Type 3,0.5412907435802936,0.0674641671980282,0.190705947811054,0.0833,0.0833,0.0833,0.0318,-157.0
146342,0,F,254700.0,225000.0,Commercial associate,Higher education,-22218,-6202,-4333,Managers,1,1,Business Entity Type 3,,0.7102503582091603,0.746300213050371,0.1667,0.1667,0.1667,0.0504,-1920.0
146343,0,M,1067940.0,765000.0,Commercial associate,Higher education,-9513,-498,-2176,,2,2,Industry: type 9,0.5369090262169642,0.6911590744694711,,0.375,0.375,0.375,0.2475,-1431.0
146346,0,F,1288350.0,1125000.0,Commercial associate,Secondary / secondary special,-17935,-3555,-1477,Core staff,2,2,Mobile,,0.7286248663286959,0.7662336700704004,0.3333,0.3333,0.3333,0.1567,-721.0
146348,0,F,1957500.0,1957500.0,Pensioner,Secondary / secondary special,-23138,365243,-4589,,2,2,XNA,0.8416651466110527,0.7378460747305174,0.6894791426446275,0.1667,0.1667,0.1667,0.0439,0.0
146349,0,M,543735.0,486000.0,Commercial associate,Secondary / secondary special,-16390,-4079,-1907,Core staff,1,1,Construction,,0.6633729716849929,0.633031641417419,0.1667,0.1667,0.1667,0.06,-831.0
146350,1,F,835380.0,675000.0,Working,Secondary / secondary special,-14636,-2644,-4197,Sales staff,3,3,Trade: type 7,,0.4065682414604628,0.4632753280912678,,,,,-20.0
146351,0,M,593460.0,540000.0,Commercial associate,Higher education,-19468,-3916,-3011,Laborers,2,2,Business Entity Type 3,,0.4138161104345537,0.8193176922872417,,,,,-428.0
146352,0,M,990000.0,990000.0,Working,Secondary / secondary special,-20925,-3859,-4436,Laborers,2,2,Industry: type 7,,0.2982079852112748,0.6658549219640212,0.3333,0.3333,0.3333,0.0786,0.0
146353,0,F,555273.0,463500.0,Commercial associate,Higher education,-21042,-13395,-4583,Medicine staff,2,2,Medicine,,0.4660882037359648,0.2925880073368475,,,,,0.0
146354,0,F,254700.0,225000.0,Working,Secondary / secondary special,-13836,-338,-4247,Laborers,2,2,Business Entity Type 3,,0.4481225367035023,,,,,,-564.0
146355,0,F,502497.0,454500.0,Pensioner,Secondary / secondary special,-20823,365243,-3943,,2,2,XNA,,0.1542654241327621,0.7421816117614419,0.125,0.125,0.125,0.0485,-541.0
146357,0,F,273636.0,247500.0,Pensioner,Secondary / secondary special,-14298,365243,-3859,,2,2,XNA,,0.1517545539337019,0.6313545365850379,,,,,0.0
146358,0,F,661500.0,661500.0,Working,Secondary / secondary special,-20181,-3311,-3475,High skill tech staff,3,3,Business Entity Type 2,,0.7011357453908916,0.3962195720630885,0.125,0.125,0.125,0.1074,-903.0
146359,0,F,360000.0,360000.0,Working,Higher education,-10345,-394,-743,,3,3,Bank,0.3939711933575896,0.4183532989349841,0.5531646987710016,0.1667,0.1667,0.1667,0.099,-1148.0
146360,0,F,1417500.0,1417500.0,Working,Higher education,-12167,-3391,-4310,Managers,2,1,Business Entity Type 3,0.5353130246923856,0.6200175469100476,0.4902575124990026,0.3333,0.3333,0.3333,0.0928,-2.0
146361,0,F,184500.0,184500.0,Commercial associate,Secondary / secondary special,-15268,-1739,-2643,Sales staff,1,1,Business Entity Type 3,0.5691719602340627,0.6223588509307746,0.2910973802776635,0.2917,0.2917,0.2917,0.3972,-1210.0
146362,0,M,450000.0,450000.0,Working,Secondary / secondary special,-10721,-255,-740,Laborers,2,2,Business Entity Type 3,0.206999362412234,0.59998692849535,0.6863823354047934,,,,,-83.0
146363,0,M,1319269.5,1152000.0,Working,Higher education,-12655,-1350,-4796,Sales staff,2,2,Self-employed,0.5964852433777195,0.7350874054049659,0.4830501881366946,0.1667,0.1667,0.1667,0.0553,-611.0
146364,0,F,408330.0,292500.0,Working,Secondary / secondary special,-14476,-2794,-4794,Laborers,2,2,Business Entity Type 3,0.1917304902698928,0.3896194635877765,0.2079641743053816,,,,,-458.0
146365,0,F,1046142.0,913500.0,Commercial associate,Higher education,-9966,-526,-2637,Sales staff,2,2,Self-employed,0.5327218441721687,0.5398582698886888,0.7544061731797895,,,,,-1164.0
146366,0,M,225000.0,225000.0,Working,Secondary / secondary special,-12910,-4856,-4361,Laborers,2,2,Military,0.2341598526452822,0.3403713257251948,0.7981372313187245,0.0417,0.0417,0.0417,0.0123,-2607.0
146367,0,F,723996.0,585000.0,Working,Secondary / secondary special,-14645,-2167,-1360,Laborers,3,3,Business Entity Type 1,0.4072425688863683,0.5862777175824533,0.4686596550493113,,,,,-1955.0
146368,0,F,337500.0,337500.0,Working,Incomplete higher,-7811,-957,-461,HR staff,2,2,Transport: type 4,,0.2884269679323242,,0.3333,0.3333,0.3333,0.0506,-833.0
146370,0,M,702000.0,702000.0,Working,Higher education,-16092,-202,-3826,High skill tech staff,1,1,Construction,0.5403578069031448,0.5749471109228941,0.6940926425266661,0.4583,0.4583,0.4583,0.15,-170.0
146371,1,M,760225.5,679500.0,Working,Secondary / secondary special,-13698,-4395,-4841,Laborers,2,2,Business Entity Type 2,,0.4170023500008741,0.6363761710860439,0.3333,0.3333,0.3333,0.0884,-651.0
146372,0,M,270000.0,270000.0,Working,Incomplete higher,-10651,-1560,-3076,Laborers,2,2,Business Entity Type 3,0.2796503668731412,0.4921356693918637,,0.5417,0.5417,0.5417,0.4958,-1716.0
146373,0,F,894766.5,679500.0,State servant,Secondary / secondary special,-13520,-6283,-890,Medicine staff,2,2,Medicine,0.424692928146126,0.3412359596890498,,0.0417,0.0417,0.0417,0.0114,-1478.0
146374,0,M,203760.0,180000.0,Working,Higher education,-14550,-556,-4662,Sales staff,2,2,Housing,0.5964065201628957,0.6214538737045564,0.5954562029091491,0.3854,0.2917,0.3125,0.0749,0.0
146375,1,F,239850.0,225000.0,Working,Incomplete higher,-14643,-4910,-4012,High skill tech staff,2,2,Other,0.4830529205138733,0.6047114035162946,0.5028782772082183,0.3333,0.3333,0.3333,0.0674,-480.0
146376,0,F,921861.0,769500.0,Working,Higher education,-11179,-1713,-3864,Accountants,2,2,Business Entity Type 3,0.4778191634989932,0.6709623489102002,0.5316861425197883,0.0417,0.0417,0.0417,0.0135,-1213.0
146377,0,F,450000.0,450000.0,Working,Higher education,-16054,-950,-4769,,2,2,Industry: type 3,,0.5765869073138615,0.475849908720221,,,,,-449.0
146378,0,M,1046142.0,913500.0,State servant,Secondary / secondary special,-17911,-3253,-1435,Drivers,2,2,Electricity,,0.7632615504591453,0.7267112092725122,0.125,0.125,0.125,0.0417,-2691.0
146379,0,F,247275.0,225000.0,Pensioner,Secondary / secondary special,-23929,365243,-4777,,2,2,XNA,,0.4687174851618872,0.7295666907060153,0.1667,0.1667,0.1667,0.0903,0.0
146380,0,F,521280.0,450000.0,Pensioner,Secondary / secondary special,-20609,365243,-4074,,2,2,XNA,,0.6251711402033557,0.6863823354047934,,,,,-749.0
