SK_ID_CURR,TARGET,CODE_GENDER,AMT_CREDIT,AMT_GOODS_PRICE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_ID_PUBLISH,OCCUPATION_TYPE,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,FLOORSMAX_AVG,FLOORSMAX_MODE,FLOORSMAX_MEDI,TOTALAREA_MODE,DAYS_LAST_PHONE_CHANGE
157878,0,M,945000.0,945000.0,Pensioner,Secondary / secondary special,-15322,365243,-4788,,2,2,XNA,0.3421946875471084,0.623227033020685,0.622922000268356,,,,,-1965.0
157879,0,M,540000.0,540000.0,Working,Secondary / secondary special,-11120,-61,-3474,Sales staff,2,2,Business Entity Type 3,0.0769054066328428,0.4300500563310507,0.656158373001177,0.3333,0.3333,0.3333,0.0531,-1585.0
157880,0,F,295168.5,238500.0,Working,Higher education,-11824,-4467,-2370,Laborers,2,2,Business Entity Type 2,0.3919237706440317,0.4477548181456879,0.524496446363472,0.0417,0.0417,0.0417,0.02,-1708.0
157881,0,F,298512.0,270000.0,Pensioner,Secondary / secondary special,-22102,365243,-4052,,3,3,XNA,,0.2359045069566172,,,,,,-1.0
157882,0,F,640080.0,450000.0,State servant,Secondary / secondary special,-13642,-1955,-4466,Managers,2,2,Postal,0.511578299607247,0.6150542255751398,0.4543210601605785,0.0417,0.0417,0.0417,0.0091,-1590.0
157883,0,F,325908.0,247500.0,Working,Higher education,-11347,-4719,-3404,Laborers,2,2,Other,0.3241694755530248,0.4422730850399,0.7713615919194317,,,,,-1250.0
157884,0,M,545040.0,450000.0,Pensioner,Incomplete higher,-21382,365243,-3983,,2,2,XNA,,0.7266443392656633,0.722392890081304,,,,,-823.0
157885,0,M,539959.5,441000.0,Working,Secondary / secondary special,-17849,-414,-1390,Laborers,2,2,Transport: type 4,0.4352630286558607,0.575465402528368,0.5082869913916046,,,,,-277.0
157887,1,F,1024740.0,900000.0,Working,Incomplete higher,-9909,-3048,-1705,,3,3,Self-employed,0.2387528178576072,0.3593685789787519,0.2103502286944494,,,,,-627.0
157888,0,F,640080.0,450000.0,Working,Secondary / secondary special,-16535,-1349,-88,Private service staff,2,2,Services,,0.6441563402579367,0.6956219298394389,,,,,-2788.0
